File,aid,Date,2062,2065,2066,2111,2116,2118,2120,2122,2175,2185,2186,2189,2190,2239,2257,2258,2261,2262,2303,2321,2322,2325,2326,2376,2378,2380,2431,2445,2446,2449,2450,2495,2517,2518,2521,2522,2559,3098,3102,3135,3154,3158,3222,3226,3263,3294,3298,3362,3414,3418,3482,3486,3519,3554,3558,3583,4113,4114,4168,34837,34842,34892,34896,34961,34962,34965,34966,35033,35034,35037,35038,35097,35098,35101,35102,35152,35154,35156,35221,35222,35225,35226,35293,35294,35297,35298,35327,35930,35998,36002,36070,36074,36134,36138,36190,36194,36258,36262,36330,36334,36351
_250m_16_days_VI_Quality_2000225_aid0001,aid0001,2000-08-12 00:00:00+00:00,1322.0,32.0,3034.0,,40.0,,16.0,,,154.0,,677.0,,,,8.0,36.0,,,,,159.0,,49.0,,17.0,,266.0,,1551.0,,,45.0,8.0,354.0,16.0,,351.0,307.0,,,,,,,,,,,,,84.0,,51.0,239.0,,,,,,,,,82.0,,,,,,,,,4.0,,8.0,13.0,,,107.0,,,,26.0,87.0,,,,,,,,,,,,,4.0,,55.0,14.0,
_250m_16_days_VI_Quality_2000241_aid0001,aid0001,2000-08-28 00:00:00+00:00,688.0,,196.0,,4011.0,,,,1.0,594.0,17.0,,,,,,,,,,14.0,,,1815.0,,,,989.0,,21.0,,1.0,51.0,,,,,463.0,33.0,,,,17.0,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,30.0,,4.0,132.0,,21.0,,17.0,4.0,,4.0,,,,,,,,,,16.0,,,17.0,,
_250m_16_days_VI_Quality_2000257_aid0001,aid0001,2000-09-13 00:00:00+00:00,419.0,,210.0,,4778.0,,,,,156.0,,176.0,,,,,,,,,,,,1919.0,,,,613.0,,42.0,,,24.0,,,,,420.0,66.0,,,,8.0,,,,8.0,,,,40.0,1.0,,59.0,28.0,,,,,,,48.0,,,,,,,,,,,,,13.0,115.0,,,68.0,,,,,,,5.0,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2000273_aid0001,aid0001,2000-09-29 00:00:00+00:00,56.0,,181.0,,8002.0,,199.0,,,37.0,,12.0,,,,,,,,,,,,366.0,,94.0,1.0,36.0,,133.0,,,7.0,,5.0,,,43.0,42.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2000289_aid0001,aid0001,2000-10-15 00:00:00+00:00,549.0,,261.0,,4148.0,,337.0,,,1004.0,,80.0,,,24.0,,,,,,8.0,,4.0,879.0,,16.0,,722.0,13.0,228.0,4.0,,25.0,,,,,150.0,4.0,,,,,,,,,,16.0,,,,,8.0,4.0,,,,,,,269.0,,57.0,8.0,,,,,,,13.0,,,,154.0,8.0,,100.0,,32.0,,,,12.0,4.0,,14.0,24.0,28.0,,,,,,,9.0,,,,
_250m_16_days_VI_Quality_2000305_aid0001,aid0001,2000-10-31 00:00:00+00:00,53.0,,4.0,,8886.0,,8.0,,,,,,,,,,,,,,,,,192.0,,,,,,12.0,,,,,4.0,,,40.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2000321_aid0001,aid0001,2000-11-16 00:00:00+00:00,340.0,,103.0,,6070.0,,28.0,,,73.0,,13.0,,,,,,,,,,,,807.0,,,2.0,262.0,,82.0,,,7.0,,,,,319.0,126.0,,,,,,,,,,,,,,,,,,,,,,,329.0,,45.0,,29.0,,,,,,,,,,286.0,,,205.0,,77.0,,8.0,,1.0,,,,,,,,,,,,,,4.0,,
_250m_16_days_VI_Quality_2000337_aid0001,aid0001,2000-12-02 00:00:00+00:00,,,,,6017.0,,3199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2000353_aid0001,aid0001,2000-12-18 00:00:00+00:00,178.0,,157.0,,7876.0,,,,,186.0,,,,,,,,,,,,,,157.0,,,,243.0,,,,,7.0,,4.0,,,194.0,88.0,,,,,,,,,,,,,,,4.0,,,,,,,,41.0,,,,,,,,,,,,,,44.0,,,29.0,,,,4.0,,,,,,,,,,,,,,,,4.0,,
_250m_16_days_VI_Quality_2001001_aid0001,aid0001,2001-01-01 00:00:00+00:00,114.0,,25.0,,8504.0,,60.0,,,,,,,,,,,,,,,,,253.0,,9.0,,33.0,,24.0,,,,,,,,126.0,20.0,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2001017_aid0001,aid0001,2001-01-17 00:00:00+00:00,24.0,,32.0,,8679.0,,58.0,,,4.0,,8.0,,,,,,,,,,,,138.0,,8.0,,74.0,,75.0,,,,,10.0,,,49.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2001033_aid0001,aid0001,2001-02-02 00:00:00+00:00,59.0,,11.0,,8651.0,,4.0,,,20.0,,41.0,,,,,,,,,,,,110.0,,,,129.0,,23.0,,,,,18.0,,,80.0,16.0,,,,,,,,,,,,,,,,,,,,,,,53.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2001049_aid0001,aid0001,2001-02-18 00:00:00+00:00,58.0,,4.0,,8894.0,,12.0,,,52.0,,,,,,,,,,,,,,93.0,,4.0,,76.0,,4.0,,,,,,,,10.0,4.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2001065_aid0001,aid0001,2001-03-06 00:00:00+00:00,,,,,9200.0,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2001081_aid0001,aid0001,2001-03-22 00:00:00+00:00,46.0,,,,8769.0,,50.0,,,,,8.0,,,20.0,,,,,,,,,177.0,,,,29.0,,8.0,,,,,8.0,,,81.0,12.0,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2001097_aid0001,aid0001,2001-04-07 00:00:00+00:00,54.0,,37.0,,8713.0,,,,,68.0,,,,,,,,,,,,,,206.0,,,,69.0,,9.0,,,11.0,,,,,37.0,4.0,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2001113_aid0001,aid0001,2001-04-23 00:00:00+00:00,12.0,,5.0,,8342.0,,,,,688.0,,,,,,,,,,,,,,74.0,,,,64.0,,,,,4.0,,,,,23.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2001129_aid0001,aid0001,2001-05-09 00:00:00+00:00,1201.0,,105.0,,208.0,102.0,,25.0,,4551.0,253.0,81.0,85.0,,253.0,41.0,,,,,,,,73.0,,,,891.0,,20.0,44.0,,131.0,4.0,41.0,53.0,,253.0,73.0,,,,8.0,,,,,,,,142.0,8.0,,22.0,8.0,,,,,,,,,192.0,,8.0,,33.0,,,,,,,,18.0,,,223.0,,,,54.0,,,,,,,,,,,,,,,,,12.0,
_250m_16_days_VI_Quality_2001145_aid0001,aid0001,2001-05-25 00:00:00+00:00,1318.0,,39.0,,273.0,,,,,1176.0,,146.0,52.0,,20.0,,,,,,,,,208.0,,,,879.0,,104.0,162.0,,21.0,,,4.0,,1396.0,64.0,,,20.0,237.0,478.0,,20.0,9.0,,,,667.0,293.0,,100.0,28.0,,,,,,,,,130.0,,82.0,,,,,,,,,,49.0,,,491.0,,131.0,13.0,12.0,30.0,,12.0,,,16.0,110.0,,,,,,,115.0,250.0,53.0,8.0,
